timestamp,sensor_id,distance,fillLevel,weight,densityIndex,hour,day_of_week,bin_state
2026-04-23 03:31:54.431000+00:00,smartbin_01,10.5,65.0,800.0,12.307692307692308,3,3,normal
2026-04-23 04:40:56.673000+00:00,smartbin_01,4.56,84.0,1063.45,12.660119047619048,4,3,normal
2026-04-23 04:41:01.353000+00:00,smartbin_01,4.25,84.0,1101.04,13.107619047619048,4,3,normal
2026-04-23 04:41:05.841000+00:00,smartbin_01,3.79,88.0,1101.33,12.515113636363635,4,3,normal
2026-04-23 04:41:14.904000+00:00,smartbin_01,15.57,40.0,40.33,1.0082499999999999,4,3,half_filled
2026-04-23 04:41:19.925000+00:00,smartbin_01,29.53,0.0,171.14,0.0,4,3,normal
2026-04-23 04:41:25.592000+00:00,smartbin_01,29.16,0.0,170.52,0.0,4,3,normal
2026-04-23 04:41:30.167000+00:00,smartbin_01,29.17,0.0,170.41,0.0,4,3,normal
2026-04-23 04:41:34.530000+00:00,smartbin_01,8.48,68.0,0.0,0.0,4,3,loosely_filled
2026-04-23 04:41:39.154000+00:00,smartbin_01,29.17,0.0,133.91,0.0,4,3,normal
2026-04-23 04:41:43.900000+00:00,smartbin_01,29.07,0.0,130.91,0.0,4,3,normal
2026-04-23 04:41:48.453000+00:00,smartbin_01,29.16,0.0,130.47,0.0,4,3,normal
2026-04-23 04:41:53.112000+00:00,smartbin_01,29.16,0.0,129.7,0.0,4,3,normal
2026-04-23 04:41:57.821000+00:00,smartbin_01,29.16,0.0,133.17,0.0,4,3,normal
2026-04-23 04:42:02.221000+00:00,smartbin_01,29.51,0.0,129.72,0.0,4,3,normal
2026-04-23 04:42:06.652000+00:00,smartbin_01,29.16,0.0,130.08,0.0,4,3,normal
2026-04-23 04:42:11.218000+00:00,smartbin_01,29.14,0.0,130.21,0.0,4,3,normal
2026-04-23 04:42:15.676000+00:00,smartbin_01,29.55,0.0,131.7,0.0,4,3,normal
2026-04-23 04:42:20.338000+00:00,smartbin_01,29.14,0.0,134.17,0.0,4,3,normal
2026-04-23 04:42:24.716000+00:00,smartbin_01,29.16,0.0,133.8,0.0,4,3,normal
2026-04-23 04:42:29.587000+00:00,smartbin_01,29.51,0.0,132.56,0.0,4,3,normal
2026-04-23 04:42:34.269000+00:00,smartbin_01,29.5,0.0,134.73,0.0,4,3,normal
2026-04-23 04:42:38.815000+00:00,smartbin_01,29.16,0.0,135.59,0.0,4,3,normal
2026-04-23 04:42:43.484000+00:00,smartbin_01,29.14,0.0,134.91,0.0,4,3,normal
2026-04-23 04:42:48.184000+00:00,smartbin_01,29.14,0.0,135.21,0.0,4,3,normal
2026-04-23 04:42:53.133000+00:00,smartbin_01,29.16,0.0,134.57,0.0,4,3,normal
2026-04-23 04:42:57.813000+00:00,smartbin_01,29.07,0.0,134.89,0.0,4,3,normal
2026-04-23 04:43:02.328000+00:00,smartbin_01,29.14,0.0,134.62,0.0,4,3,normal
2026-04-23 04:43:06.907000+00:00,smartbin_01,29.14,0.0,134.23,0.0,4,3,normal
2026-04-23 04:43:11.403000+00:00,smartbin_01,29.16,0.0,134.24,0.0,4,3,normal
2026-04-23 04:43:16.093000+00:00,smartbin_01,29.17,0.0,134.62,0.0,4,3,normal
2026-04-23 04:43:20.762000+00:00,smartbin_01,28.7,0.0,134.99,0.0,4,3,normal
2026-04-23 04:43:25.468000+00:00,smartbin_01,29.16,0.0,134.05,0.0,4,3,normal
2026-04-23 04:43:30.686000+00:00,smartbin_01,29.16,0.0,133.6,0.0,4,3,normal
2026-04-23 04:43:36.932000+00:00,smartbin_01,29.16,0.0,132.44,0.0,4,3,normal
2026-04-23 04:43:41.663000+00:00,smartbin_01,29.16,0.0,132.29,0.0,4,3,normal
2026-04-23 04:43:48.014000+00:00,smartbin_01,29.51,0.0,132.46,0.0,4,3,normal
2026-04-23 04:43:53.589000+00:00,smartbin_01,29.14,0.0,132.93,0.0,4,3,normal
2026-04-23 04:43:58.293000+00:00,smartbin_01,29.14,0.0,134.21,0.0,4,3,normal
2026-04-23 04:44:02.812000+00:00,smartbin_01,29.16,0.0,131.81,0.0,4,3,normal
2026-04-23 04:44:07.486000+00:00,smartbin_01,29.14,0.0,130.8,0.0,4,3,normal
2026-04-23 04:44:11.978000+00:00,smartbin_01,29.14,0.0,131.97,0.0,4,3,normal
2026-04-23 04:44:16.671000+00:00,smartbin_01,29.14,0.0,133.31,0.0,4,3,normal
2026-04-23 04:44:21.377000+00:00,smartbin_01,29.41,0.0,134.97,0.0,4,3,normal
2026-04-23 04:44:25.895000+00:00,smartbin_01,29.14,0.0,133.39,0.0,4,3,normal
2026-04-23 04:44:30.539000+00:00,smartbin_01,29.14,0.0,132.04,0.0,4,3,normal
2026-04-23 04:44:35.532000+00:00,smartbin_01,28.7,0.0,133.63,0.0,4,3,normal
2026-04-23 04:44:40.632000+00:00,smartbin_01,28.7,0.0,135.68,0.0,4,3,normal
2026-04-23 04:44:45.608000+00:00,smartbin_01,29.51,0.0,134.25,0.0,4,3,normal
2026-04-23 04:44:50.256000+00:00,smartbin_01,29.16,0.0,134.56,0.0,4,3,normal
2026-04-23 04:44:54.974000+00:00,smartbin_01,29.16,0.0,134.37,0.0,4,3,normal
2026-04-23 04:44:59.683000+00:00,smartbin_01,28.7,0.0,133.53,0.0,4,3,normal
2026-04-23 04:45:04.386000+00:00,smartbin_01,28.7,0.0,134.12,0.0,4,3,normal
2026-04-23 04:45:09.161000+00:00,smartbin_01,29.16,0.0,135.75,0.0,4,3,normal
2026-04-23 04:45:14.227000+00:00,smartbin_01,29.14,0.0,136.02,0.0,4,3,normal
2026-04-23 04:45:18.957000+00:00,smartbin_01,29.14,0.0,134.65,0.0,4,3,normal
2026-04-23 04:45:23.871000+00:00,smartbin_01,29.14,0.0,135.04,0.0,4,3,normal
2026-04-23 04:45:28.761000+00:00,smartbin_01,28.7,0.0,134.15,0.0,4,3,normal
2026-04-23 04:45:33.262000+00:00,smartbin_01,29.55,0.0,134.83,0.0,4,3,normal
2026-04-23 04:45:37.601000+00:00,smartbin_01,29.14,0.0,133.6,0.0,4,3,normal
2026-04-23 04:45:42.504000+00:00,smartbin_01,29.16,0.0,133.66,0.0,4,3,normal
2026-04-23 04:45:47.407000+00:00,smartbin_01,29.14,0.0,134.56,0.0,4,3,normal
2026-04-23 04:45:52.383000+00:00,smartbin_01,28.7,0.0,134.29,0.0,4,3,normal
2026-04-23 04:45:57.196000+00:00,smartbin_01,29.14,0.0,133.24,0.0,4,3,normal
2026-04-23 04:46:02.007000+00:00,smartbin_01,28.7,0.0,134.48,0.0,4,3,normal
2026-04-23 04:46:06.658000+00:00,smartbin_01,29.14,0.0,135.18,0.0,4,3,normal
